Source Row,Inventory,Proposed Scope,Scope Approval,Source Equipment Name,Display Equipment Name,Source Sequence,Source Reference,Normalized Category,Tracking Model,Quantity,Proposed Internal Asset Code,Manufacturer Serial,Reconciliation Status,Candidate Nerve Asset ID,Candidate Nerve Asset Tag,PRIMARY DECISION STATE,Proposed Accessory Grouping,Review Flag,Decision,Decided By,Decision Date,Notes
127,PID,PID,PENDING,panasonic cell charger,panasonic cell charger 4,4,,Charger,REQUIRES_REVIEW,,,,NEW,,,IDENTITY_DECISION_REQUIRED,AMBIGUOUS,CONSUMABLE/ACCESSORY FAMILY — serialized or stock is a human decision,,,,
128,PID,PID,PENDING,panasonic rechargeable cell,panasonic rechargeable cell,,1 to 48,Battery / Cell,POOLED,48,PID-0041,,NEW,,,CONFIRM_POOLED,,QUANTITY RANGE IN SOURCE (1 to 48) — not exploded into individual assets,,,,
129,PID,PID,PENDING,Zoom H6,Zoom H6 1,1,,Audio Recorder,SERIALIZED,,PID-0042,,POSSIBLE_MATCH,25,EQ-AUD-001,PHYSICAL_VERIFICATION,,POSSIBLE MATCH — confirm before import or a duplicate is created,,,,
130,PID,PID,PENDING,Zoom H6,Zoom H6 2,2,,Audio Recorder,SERIALIZED,,PID-0043,,POSSIBLE_MATCH,25,EQ-AUD-001,PHYSICAL_VERIFICATION,,POSSIBLE MATCH — confirm before import or a duplicate is created,,,,
131,PID,PID,PENDING,Zoom H7,Zoom H7 3,3,,Audio Recorder,SERIALIZED,,PID-0044,,NEW,,,CONFIRM_NEW,,,,,,
132,PID,PID,PENDING,Zoom H8,Zoom H8 4,4,,Audio Recorder,SERIALIZED,,PID-0045,,NEW,,,CONFIRM_NEW,,,,,,
133,PID,PID,PENDING,Zoom H9,Zoom H9 5,5,,Audio Recorder,SERIALIZED,,PID-0046,,NEW,,,CONFIRM_NEW,,,,,,
134,PID,PID,PENDING,AKG P170 Condenser mic,AKG P170 Condenser mic 1,1,,Microphone / Wireless Audio,SERIALIZED,,PID-0047,,NEW,,,CONFIRM_NEW,,,,,,
135,PID,PID,PENDING,AKG P170 Condenser mic,AKG P170 Condenser mic 2,2,,Microphone / Wireless Audio,SERIALIZED,,PID-0048,,NEW,,,CONFIRM_NEW,,,,,,
136,PID,PID,PENDING,Mixpre-6II,Mixpre-6II 1,1,,Audio Recorder,SERIALIZED,,PID-0049,,NEW,,,CONFIRM_NEW,,,,,,
137,PID,PID,PENDING,AHUJA UTP-30 mic,AHUJA UTP-30 mic 1,1,,Microphone / Wireless Audio,SERIALIZED,,PID-0050,,NEW,,,CONFIRM_NEW,,,,,,
138,PID,PID,PENDING,AHUJA UTP-30 mic,AHUJA UTP-30 mic 2,2,,Microphone / Wireless Audio,SERIALIZED,,PID-0051,,NEW,,,CONFIRM_NEW,,,,,,
139,PID,PID,PENDING,snoot,snoot 1,1,,Light Modifier,REQUIRES_REVIEW,,,,NEW,,,IDENTITY_DECISION_REQUIRED,LIKELY INDIVIDUAL,CONSUMABLE/ACCESSORY FAMILY — serialized or stock is a human decision,,,,
140,PID,PID,PENDING,light meter big,light meter big 1,1,,Light Meter,SERIALIZED,,PID-0052,,NEW,,,CONFIRM_NEW,,,,,,
141,PID,PID,PENDING,light meter small,light meter small 1,1,,Light Meter,SERIALIZED,,PID-0053,,NEW,,,CONFIRM_NEW,,,,,,
142,PID,PID,PENDING,Shure SM57 mic,Shure SM57 mic 1,1,,Microphone / Wireless Audio,SERIALIZED,,PID-0054,,NEW,,,CONFIRM_NEW,,,,,,
143,PID,PID,PENDING,Shure SM57 mic,Shure SM57 mic 2,2,,Microphone / Wireless Audio,SERIALIZED,,PID-0055,,NEW,,,CONFIRM_NEW,,,,,,
144,PID,PID,PENDING,Shure SM58 mic,Shure SM58 mic 1,1,,Microphone / Wireless Audio,SERIALIZED,,PID-0056,,NEW,,,CONFIRM_NEW,,,,,,
145,PID,PID,PENDING,Shure SM58 mic,Shure SM58 mic 2,2,,Microphone / Wireless Audio,SERIALIZED,,PID-0057,,NEW,,,CONFIRM_NEW,,,,,,
146,PID,PID,PENDING,sennhesier XS wireless Digital,sennhesier XS wireless Digital 1,1,,Microphone / Wireless Audio,SERIALIZED,,PID-0058,,NEW,,,CONFIRM_NEW,,,,,,
147,PID,PID,PENDING,sennhesier XS wireless Digital,sennhesier XS wireless Digital 2,2,,Microphone / Wireless Audio,SERIALIZED,,PID-0059,,NEW,,,CONFIRM_NEW,,,,,,
148,PID,PID,PENDING,sennhesier MKH 416 boom mic,sennhesier MKH 416 boom mic 1,1,,Microphone / Wireless Audio,SERIALIZED,,PID-0060,,NEW,,,CONFIRM_NEW,,,,,,
149,PID,PID,PENDING,sennhesier MKH 416 boom mic,sennhesier MKH 416 boom mic 2,2,,Microphone / Wireless Audio,SERIALIZED,,PID-0061,,NEW,,,CONFIRM_NEW,,,,,,
150,PID,PID,PENDING,NTG 4,NTG 4 1,1,,Microphone / Wireless Audio,SERIALIZED,,PID-0062,,NEW,,,CONFIRM_NEW,,,,,,
151,PID,PID,PENDING,NTG 4,NTG 4 2,2,,Microphone / Wireless Audio,SERIALIZED,,PID-0063,,NEW,,,CONFIRM_NEW,,,,,,
152,PID,PID,PENDING,NTG 2,NTG 2 1,1,,Microphone / Wireless Audio,SERIALIZED,,PID-0064,,NEW,,,CONFIRM_NEW,,,,,,
153,PID,PID,PENDING,NTG 2,NTG 2 2,2,,Microphone / Wireless Audio,SERIALIZED,,PID-0065,,NEW,,,CONFIRM_NEW,,,,,,
154,PID,PID,PENDING,Wacom digital display,Wacom digital display 1,1,,Graphics Tablet,SERIALIZED,,PID-0066,,NEW,,,CONFIRM_NEW,,,,,,
155,PID,PID,PENDING,Wacom digital display,Wacom digital display 2,2,,Graphics Tablet,SERIALIZED,,PID-0067,,NEW,,,CONFIRM_NEW,,,,,,
156,PID,PID,PENDING,Wacom digital display,Wacom digital display 3,3,,Graphics Tablet,SERIALIZED,,PID-0068,,NEW,,,CONFIRM_NEW,,,,,,
157,PID,PID,PENDING,Wacom digital display,Wacom digital display 4,4,,Graphics Tablet,SERIALIZED,,PID-0069,,NEW,,,CONFIRM_NEW,,,,,,
158,PID,PID,PENDING,Wacom digital display,Wacom digital display 5,5,,Graphics Tablet,SERIALIZED,,PID-0070,,NEW,,,CONFIRM_NEW,,,,,,
159,PID,PID,PENDING,Wacom Intuos digital pad,Wacom Intuos digital pad 1,1,,Graphics Tablet,SERIALIZED,,PID-0071,,NEW,,,CONFIRM_NEW,,,,,,
160,PID,PID,PENDING,Wacom Intuos digital pad,Wacom Intuos digital pad 2,2,,Graphics Tablet,SERIALIZED,,PID-0072,,NEW,,,CONFIRM_NEW,,,,,,
161,PID,PID,PENDING,Wacom Intuos digital pad,Wacom Intuos digital pad 3,3,,Graphics Tablet,SERIALIZED,,PID-0073,,NEW,,,CONFIRM_NEW,,,,,,
162,PID,PID,PENDING,Wacom Intuos digital pad,Wacom Intuos digital pad 4,4,,Graphics Tablet,SERIALIZED,,PID-0074,,NEW,,,CONFIRM_NEW,,,,,,
163,PID,PID,PENDING,Wacom Intuos digital pad,Wacom Intuos digital pad 5,5,,Graphics Tablet,SERIALIZED,,PID-0075,,NEW,,,CONFIRM_NEW,,,,,,
164,PID,PID,PENDING,Wacom Intuos digital pad,Wacom Intuos digital pad 6,6,,Graphics Tablet,SERIALIZED,,PID-0076,,NEW,,,CONFIRM_NEW,,,,,,
165,PID,PID,PENDING,Wacom Intuos digital pad,Wacom Intuos digital pad 7,7,,Graphics Tablet,SERIALIZED,,PID-0077,,NEW,,,CONFIRM_NEW,,,,,,
166,PID,PID,PENDING,Wacom Intuos digital pad,Wacom Intuos digital pad 8,8,,Graphics Tablet,SERIALIZED,,PID-0078,,NEW,,,CONFIRM_NEW,,,,,,
167,PID,PID,PENDING,Wacom Intuos digital pad,Wacom Intuos digital pad 9,9,,Graphics Tablet,SERIALIZED,,PID-0079,,NEW,,,CONFIRM_NEW,,,,,,
168,PID,PID,PENDING,Wacom Intuos digital pad,Wacom Intuos digital pad 10,10,,Graphics Tablet,SERIALIZED,,PID-0080,,NEW,,,CONFIRM_NEW,,,,,,
169,PID,PID,PENDING,G4 + 2 MX XLR to AUX,G4 + 2 MX XLR to AUX 1,1,,Cable / Adapter,REQUIRES_REVIEW,,,,NEW,,,IDENTITY_DECISION_REQUIRED,AMBIGUOUS,CONSUMABLE/ACCESSORY FAMILY — serialized or stock is a human decision,,,,
170,PID,PID,PENDING,G4 + 2 MX XLR to AUX,G4 + 2 MX XLR to AUX 2,2,,Cable / Adapter,REQUIRES_REVIEW,,,,NEW,,,IDENTITY_DECISION_REQUIRED,AMBIGUOUS,CONSUMABLE/ACCESSORY FAMILY — serialized or stock is a human decision,,,,
171,PID,PID,PENDING,G4 + 2 MX XLR to AUX,G4 + 2 MX XLR to AUX 3,3,,Cable / Adapter,REQUIRES_REVIEW,,,,NEW,,,IDENTITY_DECISION_REQUIRED,AMBIGUOUS,CONSUMABLE/ACCESSORY FAMILY — serialized or stock is a human decision,,,,
172,PID,PID,PENDING,G4 + 2 MX XLR to AUX,G4 + 2 MX XLR to AUX 4,4,,Cable / Adapter,REQUIRES_REVIEW,,,,NEW,,,IDENTITY_DECISION_REQUIRED,AMBIGUOUS,CONSUMABLE/ACCESSORY FAMILY — serialized or stock is a human decision,,,,
173,PID,PID,PENDING,"Cloths (2 green,1 black , 2 white)","Cloths (2 green,1 black , 2 white) 1",1,,Cloth / Backdrop,REQUIRES_REVIEW,,,,NEW,,,IDENTITY_DECISION_REQUIRED,AMBIGUOUS,CONSUMABLE/ACCESSORY FAMILY — serialized or stock is a human decision,,,,
174,PID,PID,PENDING,"Cloths (2 green,1 black , 2 white)","Cloths (2 green,1 black , 2 white) 2",2,,Cloth / Backdrop,REQUIRES_REVIEW,,,,NEW,,,IDENTITY_DECISION_REQUIRED,AMBIGUOUS,CONSUMABLE/ACCESSORY FAMILY — serialized or stock is a human decision,,,,
175,PID,PID,PENDING,"Cloths (2 green,1 black , 2 white)","Cloths (2 green,1 black , 2 white) 3",3,,Cloth / Backdrop,REQUIRES_REVIEW,,,,NEW,,,IDENTITY_DECISION_REQUIRED,AMBIGUOUS,CONSUMABLE/ACCESSORY FAMILY — serialized or stock is a human decision,,,,
176,PID,PID,PENDING,"Cloths (2 green,1 black , 2 white)","Cloths (2 green,1 black , 2 white) 4",4,,Cloth / Backdrop,REQUIRES_REVIEW,,,,NEW,,,IDENTITY_DECISION_REQUIRED,AMBIGUOUS,CONSUMABLE/ACCESSORY FAMILY — serialized or stock is a human decision,,,,
177,PID,PID,PENDING,"Cloths (2 green,1 black , 2 white)","Cloths (2 green,1 black , 2 white) 5",5,,Cloth / Backdrop,REQUIRES_REVIEW,,,,NEW,,,IDENTITY_DECISION_REQUIRED,AMBIGUOUS,CONSUMABLE/ACCESSORY FAMILY — serialized or stock is a human decision,,,,
178,PID,PID,PENDING,big camera bag,big camera bag 1,1,,Bag,REQUIRES_REVIEW,,,,NEW,,,IDENTITY_DECISION_REQUIRED,LIKELY INDIVIDUAL,CONSUMABLE/ACCESSORY FAMILY — serialized or stock is a human decision,,,,
179,PID,PID,PENDING,big camera bag,big camera bag 2,2,,Bag,REQUIRES_REVIEW,,,,NEW,,,IDENTITY_DECISION_REQUIRED,LIKELY INDIVIDUAL,CONSUMABLE/ACCESSORY FAMILY — serialized or stock is a human decision,,,,
180,PID,PID,PENDING,big camera bag,big camera bag 3,3,,Bag,REQUIRES_REVIEW,,,,NEW,,,IDENTITY_DECISION_REQUIRED,LIKELY INDIVIDUAL,CONSUMABLE/ACCESSORY FAMILY — serialized or stock is a human decision,,,,
181,PID,PID,PENDING,big camera bag,big camera bag 4,4,,Bag,REQUIRES_REVIEW,,,,NEW,,,IDENTITY_DECISION_REQUIRED,LIKELY INDIVIDUAL,CONSUMABLE/ACCESSORY FAMILY — serialized or stock is a human decision,,,,
182,PID,PID,PENDING,big camera bag,big camera bag 5,5,,Bag,REQUIRES_REVIEW,,,,NEW,,,IDENTITY_DECISION_REQUIRED,LIKELY INDIVIDUAL,CONSUMABLE/ACCESSORY FAMILY — serialized or stock is a human decision,,,,
183,PID,PID,PENDING,big camera bag,big camera bag 6,6,,Bag,REQUIRES_REVIEW,,,,NEW,,,IDENTITY_DECISION_REQUIRED,LIKELY INDIVIDUAL,CONSUMABLE/ACCESSORY FAMILY — serialized or stock is a human decision,,,,
184,PID,PID,PENDING,big camera bag,big camera bag 7,7,,Bag,REQUIRES_REVIEW,,,,NEW,,,IDENTITY_DECISION_REQUIRED,LIKELY INDIVIDUAL,CONSUMABLE/ACCESSORY FAMILY — serialized or stock is a human decision,,,,
185,PID,PID,PENDING,sony alpha camera bag,sony alpha camera bag 1,1,,Bag,REQUIRES_REVIEW,,,,NEW,,,IDENTITY_DECISION_REQUIRED,LIKELY INDIVIDUAL,CONSUMABLE/ACCESSORY FAMILY — serialized or stock is a human decision,,,,
186,PID,PID,PENDING,sony alpha camera bag,sony alpha camera bag 2,2,,Bag,REQUIRES_REVIEW,,,,NEW,,,IDENTITY_DECISION_REQUIRED,LIKELY INDIVIDUAL,CONSUMABLE/ACCESSORY FAMILY — serialized or stock is a human decision,,,,
187,PID,PID,PENDING,sony small bag,sony small bag 1,1,,Bag,REQUIRES_REVIEW,,,,NEW,,,IDENTITY_DECISION_REQUIRED,LIKELY INDIVIDUAL,CONSUMABLE/ACCESSORY FAMILY — serialized or stock is a human decision,,,,
188,PID,PID,PENDING,sony small bag,sony small bag 2,2,,Bag,REQUIRES_REVIEW,,,,NEW,,,IDENTITY_DECISION_REQUIRED,LIKELY INDIVIDUAL,CONSUMABLE/ACCESSORY FAMILY — serialized or stock is a human decision,,,,
189,PID,PID,PENDING,sony small bag,sony small bag 3,3,,Bag,REQUIRES_REVIEW,,,,NEW,,,IDENTITY_DECISION_REQUIRED,LIKELY INDIVIDUAL,CONSUMABLE/ACCESSORY FAMILY — serialized or stock is a human decision,,,,
190,PID,PID,PENDING,sony small bag,sony small bag 4,4,,Bag,REQUIRES_REVIEW,,,,NEW,,,IDENTITY_DECISION_REQUIRED,LIKELY INDIVIDUAL,CONSUMABLE/ACCESSORY FAMILY — serialized or stock is a human decision,,,,
191,PID,PID,PENDING,canon camera bag,canon camera bag 1,1,,Bag,REQUIRES_REVIEW,,,,NEW,,,IDENTITY_DECISION_REQUIRED,LIKELY INDIVIDUAL,CONSUMABLE/ACCESSORY FAMILY — serialized or stock is a human decision,,,,
192,PID,PID,PENDING,canon camera bag,canon camera bag 2,2,,Bag,REQUIRES_REVIEW,,,,NEW,,,IDENTITY_DECISION_REQUIRED,LIKELY INDIVIDUAL,CONSUMABLE/ACCESSORY FAMILY — serialized or stock is a human decision,,,,
193,PID,PID,PENDING,canon camera bag,canon camera bag 3,3,,Bag,REQUIRES_REVIEW,,,,NEW,,,IDENTITY_DECISION_REQUIRED,LIKELY INDIVIDUAL,CONSUMABLE/ACCESSORY FAMILY — serialized or stock is a human decision,,,,
194,PID,PID,PENDING,canon camera bag,canon camera bag 4,4,,Bag,REQUIRES_REVIEW,,,,NEW,,,IDENTITY_DECISION_REQUIRED,LIKELY INDIVIDUAL,CONSUMABLE/ACCESSORY FAMILY — serialized or stock is a human decision,,,,
195,PID,PID,PENDING,canon camera bag,canon camera bag 5,5,,Bag,REQUIRES_REVIEW,,,,NEW,,,IDENTITY_DECISION_REQUIRED,LIKELY INDIVIDUAL,CONSUMABLE/ACCESSORY FAMILY — serialized or stock is a human decision,,,,
196,PID,PID,PENDING,Canon 200DII,Canon 200DII 1,1,,Camera Body,SERIALIZED,,PID-0081,,NEW,,,CONFIRM_NEW,,,,,,
197,PID,PID,PENDING,Canon 200DII,Canon 200DII 2,2,,Camera Body,SERIALIZED,,PID-0082,,NEW,,,CONFIRM_NEW,,,,,,
198,PID,PID,PENDING,Canon 200DII,Canon 200DII 3,3,,Camera Body,SERIALIZED,,PID-0083,,NEW,,,CONFIRM_NEW,,,,,,
199,PID,PID,PENDING,Canon 200DII,Canon 200DII 4,4,,Camera Body,SERIALIZED,,PID-0084,,NEW,,,CONFIRM_NEW,,,,,,
200,PID,PID,PENDING,Canon 200DII,Canon 200DII 5,5,,Camera Body,SERIALIZED,,PID-0085,,NEW,,,CONFIRM_NEW,,,,,,
201,PID,PID,PENDING,Canon 1500DII,Canon 1500DII 1,1,,Camera Body,SERIALIZED,,PID-0086,,NEW,,,CONFIRM_NEW,,,,,,
202,PID,PID,PENDING,Canon 1500DII,Canon 1500DII 2,2,,Camera Body,SERIALIZED,,PID-0087,,NEW,,,CONFIRM_NEW,,,,,,
203,PID,PID,PENDING,Canon 1500DII,Canon 1500DII 3,3,,Camera Body,SERIALIZED,,PID-0088,,NEW,,,CONFIRM_NEW,,,,,,
204,PID,PID,PENDING,Canon 1500DII,Canon 1500DII 4,4,,Camera Body,SERIALIZED,,PID-0089,,NEW,,,CONFIRM_NEW,,,,,,
205,PID,PID,PENDING,Canon 700D,Canon 700D 1,1,,Camera Body,SERIALIZED,,PID-0090,,NEW,,,CONFIRM_NEW,,,,,,
206,PID,PID,PENDING,Canon lens 55-250 mm,Canon lens 55-250 mm 1,1,,Lens,SERIALIZED,,PID-0091,,NEW,,,CONFIRM_NEW,,,,,,
207,PID,PID,PENDING,Canon lens 55-250 mm,Canon lens 55-250 mm 2,2,,Lens,SERIALIZED,,PID-0092,,NEW,,,CONFIRM_NEW,,,,,,
208,PID,PID,PENDING,Canon lens 55-250 mm,Canon lens 55-250 mm 3,3,,Lens,SERIALIZED,,PID-0093,,NEW,,,CONFIRM_NEW,,,,,,
209,PID,PID,PENDING,Canon lens 55-250 mm,Canon lens 55-250 mm 4,4,,Lens,SERIALIZED,,PID-0094,,NEW,,,CONFIRM_NEW,,,,,,
210,PID,PID,PENDING,Canon lens 55-250 mm,Canon lens 55-250 mm 5,5,,Lens,SERIALIZED,,PID-0095,,NEW,,,CONFIRM_NEW,,,,,,
211,PID,PID,PENDING,Canon lens 55-250 mm,Canon lens 55-250 mm 6,6,,Lens,SERIALIZED,,PID-0096,,NEW,,,CONFIRM_NEW,,,,,,
212,PID,PID,PENDING,Canon lens 55-250 mm,Canon lens 55-250 mm 7,7,,Lens,SERIALIZED,,PID-0097,,NEW,,,CONFIRM_NEW,,,,,,
213,PID,PID,PENDING,Canon lens macro 35 mm,Canon lens macro 35 mm 1,1,,Lens,SERIALIZED,,PID-0098,,NEW,,,CONFIRM_NEW,,,,,,
214,PID,PID,PENDING,Canon lens macro 10-18 mm,Canon lens macro 10-18 mm 1,1,,Lens,SERIALIZED,,PID-0099,,NEW,,,CONFIRM_NEW,,,,,,
215,PID,PID,PENDING,Canon lens 50 mm,Canon lens 50 mm 1,1,,Lens,SERIALIZED,,PID-0100,,NEW,,,CONFIRM_NEW,,,,,,
216,PID,PID,PENDING,Canon lens macro 100 mm,Canon lens macro 100 mm 1,1,,Lens,SERIALIZED,,PID-0101,,NEW,,,CONFIRM_NEW,,,,,,
217,PID,PID,PENDING,Canon lens 18-55 mm,Canon lens 18-55 mm 1,1,,Lens,SERIALIZED,,PID-0102,,NEW,,,CONFIRM_NEW,,,,,,
218,PID,PID,PENDING,Canon lens 18-55 mm,Canon lens 18-55 mm 2,2,,Lens,SERIALIZED,,PID-0103,,NEW,,,CONFIRM_NEW,,,,,,
219,PID,PID,PENDING,Canon lens 18-55 mm,Canon lens 18-55 mm 3,3,,Lens,SERIALIZED,,PID-0104,,NEW,,,CONFIRM_NEW,,,,,,
220,PID,PID,PENDING,Canon lens 18-55 mm,Canon lens 18-55 mm 4,4,,Lens,SERIALIZED,,PID-0105,,NEW,,,CONFIRM_NEW,,,,,,
221,PID,PID,PENDING,Canon lens 18-55 mm,Canon lens 18-55 mm 5,5,,Lens,SERIALIZED,,PID-0106,,NEW,,,CONFIRM_NEW,,,,,,
222,PID,PID,PENDING,Canon lens 18-55 mm,Canon lens 18-55 mm 6,6,,Lens,SERIALIZED,,PID-0107,,NEW,,,CONFIRM_NEW,,,,,,
223,PID,PID,PENDING,Canon lens 18-55 mm,Canon lens 18-55 mm 7,7,,Lens,SERIALIZED,,PID-0108,,NEW,,,CONFIRM_NEW,,,,,,
224,PID,PID,PENDING,Canon lens 18-55 mm,Canon lens 18-55 mm 8,8,,Lens,SERIALIZED,,PID-0109,,NEW,,,CONFIRM_NEW,,,,,,
225,PID,PID,PENDING,Canon lens 18-55 mm,Canon lens 18-55 mm 9,9,,Lens,SERIALIZED,,PID-0110,,NEW,,,CONFIRM_NEW,,,,,,
226,PID,PID,PENDING,Canon lens 18-55 mm,Canon lens 18-55 mm 10,10,,Lens,SERIALIZED,,PID-0111,,NEW,,,CONFIRM_NEW,,,,,,
227,PID,PID,PENDING,Canon lens 18-55 mm,Canon lens 18-55 mm 11,11,,Lens,SERIALIZED,,PID-0112,,NEW,,,CONFIRM_NEW,,,,,,
228,PID,PID,PENDING,Canon 200d charger,Canon 200d charger 1,1,,Charger,REQUIRES_REVIEW,,,,NEW,,,IDENTITY_DECISION_REQUIRED,LIKELY INDIVIDUAL,CONSUMABLE/ACCESSORY FAMILY — serialized or stock is a human decision,,,,
229,PID,PID,PENDING,Canon 200d charger,Canon 200d charger 2,2,,Charger,REQUIRES_REVIEW,,,,NEW,,,IDENTITY_DECISION_REQUIRED,LIKELY INDIVIDUAL,CONSUMABLE/ACCESSORY FAMILY — serialized or stock is a human decision,,,,
230,PID,PID,PENDING,Canon 200d charger,Canon 200d charger 3,3,,Charger,REQUIRES_REVIEW,,,,NEW,,,IDENTITY_DECISION_REQUIRED,LIKELY INDIVIDUAL,CONSUMABLE/ACCESSORY FAMILY — serialized or stock is a human decision,,,,
231,PID,PID,PENDING,Canon 200d charger,Canon 200d charger 4,4,,Charger,REQUIRES_REVIEW,,,,NEW,,,IDENTITY_DECISION_REQUIRED,LIKELY INDIVIDUAL,CONSUMABLE/ACCESSORY FAMILY — serialized or stock is a human decision,,,,
232,PID,PID,PENDING,Canon 200d charger,Canon 200d charger 5,5,,Charger,REQUIRES_REVIEW,,,,NEW,,,IDENTITY_DECISION_REQUIRED,LIKELY INDIVIDUAL,CONSUMABLE/ACCESSORY FAMILY — serialized or stock is a human decision,,,,
233,PID,PID,PENDING,Canon 1500DII charger,Canon 1500DII charger 1,1,,Charger,REQUIRES_REVIEW,,,,NEW,,,IDENTITY_DECISION_REQUIRED,LIKELY INDIVIDUAL,CONSUMABLE/ACCESSORY FAMILY — serialized or stock is a human decision,,,,
234,PID,PID,PENDING,Canon 1500DII charger,Canon 1500DII charger 2,2,,Charger,REQUIRES_REVIEW,,,,NEW,,,IDENTITY_DECISION_REQUIRED,LIKELY INDIVIDUAL,CONSUMABLE/ACCESSORY FAMILY — serialized or stock is a human decision,,,,
235,PID,PID,PENDING,Canon 1500DII charger,Canon 1500DII charger 3,3,,Charger,REQUIRES_REVIEW,,,,NEW,,,IDENTITY_DECISION_REQUIRED,LIKELY INDIVIDUAL,CONSUMABLE/ACCESSORY FAMILY — serialized or stock is a human decision,,,,
236,PID,PID,PENDING,Canon 1500DII charger,Canon 1500DII charger 4,4,,Charger,REQUIRES_REVIEW,,,,NEW,,,IDENTITY_DECISION_REQUIRED,LIKELY INDIVIDUAL,CONSUMABLE/ACCESSORY FAMILY — serialized or stock is a human decision,,,,
237,PID,PID,PENDING,Canon 1500DII charger,Canon 1500DII charger 5,5,,Charger,REQUIRES_REVIEW,,,,NEW,,,IDENTITY_DECISION_REQUIRED,LIKELY INDIVIDUAL,CONSUMABLE/ACCESSORY FAMILY — serialized or stock is a human decision,,,,
238,PID,PID,PENDING,Canon 700D charger,Canon 700D charger 1,1,,Charger,REQUIRES_REVIEW,,,,NEW,,,IDENTITY_DECISION_REQUIRED,LIKELY INDIVIDUAL,CONSUMABLE/ACCESSORY FAMILY — serialized or stock is a human decision,,,,
239,PID,PID,PENDING,Canon 700D charger,Canon 700D charger 2,2,,Charger,REQUIRES_REVIEW,,,,NEW,,,IDENTITY_DECISION_REQUIRED,LIKELY INDIVIDUAL,CONSUMABLE/ACCESSORY FAMILY — serialized or stock is a human decision,,,,
240,PID,PID,PENDING,boom rod,boom rod 1,1,,Tripod / Support,SERIALIZED,,PID-0113,,NEW,,,CONFIRM_NEW,,,,,,
241,PID,PID,PENDING,boom rod,boom rod 2,2,,Tripod / Support,SERIALIZED,,PID-0114,,NEW,,,CONFIRM_NEW,,,,,,
242,PID,PID,PENDING,boom rod,boom rod 3,3,,Tripod / Support,SERIALIZED,,PID-0115,,NEW,,,CONFIRM_NEW,,,,,,
243,PID,PID,PENDING,boom rod,boom rod 4,4,,Tripod / Support,SERIALIZED,,PID-0116,,NEW,,,CONFIRM_NEW,,,,,,
244,PID,PID,PENDING,boom rod,boom rod 5,5,,Tripod / Support,SERIALIZED,,PID-0117,,NEW,,,CONFIRM_NEW,,,,,,
245,PID,PID,PENDING,digitek tripod small,digitek tripod small 1,1,,Tripod / Support,SERIALIZED,,PID-0118,,NEW,,,CONFIRM_NEW,,,,,,
246,PID,PID,PENDING,digitek tripod small,digitek tripod small 2,2,,Tripod / Support,SERIALIZED,,PID-0119,,NEW,,,CONFIRM_NEW,,,,,,
247,PID,PID,PENDING,e-image tripod,e-image tripod 1,1,,Tripod / Support,SERIALIZED,,PID-0120,,NEW,,,CONFIRM_NEW,,,,,,
248,PID,PID,PENDING,Manfrotto tripod,Manfrotto tripod 1,1,,Tripod / Support,SERIALIZED,,PID-0121,,NEW,,,CONFIRM_NEW,,,,,,
249,PID,PID,PENDING,shoulder rig,shoulder rig 1,1,,Tripod / Support,SERIALIZED,,PID-0122,,NEW,,,CONFIRM_NEW,,,,,,
250,PID,PID,PENDING,camera slider kit big,camera slider kit big 1,1,,Tripod / Support,SERIALIZED,,PID-0123,,NEW,,,CONFIRM_NEW,,,,,,
251,PID,PID,PENDING,camera slider kit small,camera slider kit small 1,1,,Tripod / Support,SERIALIZED,,PID-0124,,NEW,,,CONFIRM_NEW,,,,,,
252,PID,PID,PENDING,Rechargeable cell,Rechargeable cell,,1 to 29,Battery / Cell,POOLED,29,PID-0125,,NEW,,,CONFIRM_POOLED,,QUANTITY RANGE IN SOURCE (1 to 29) — not exploded into individual assets,,,,
253,PID,PID,PENDING,cell charger,cell charger 1,1,,Charger,REQUIRES_REVIEW,,,,NEW,,,IDENTITY_DECISION_REQUIRED,AMBIGUOUS,CONSUMABLE/ACCESSORY FAMILY — serialized or stock is a human decision,,,,
254,PID,PID,PENDING,cell charger,cell charger 2,2,,Charger,REQUIRES_REVIEW,,,,NEW,,,IDENTITY_DECISION_REQUIRED,AMBIGUOUS,CONSUMABLE/ACCESSORY FAMILY — serialized or stock is a human decision,,,,
255,PID,PID,PENDING,cell charger,cell charger 3,3,,Charger,REQUIRES_REVIEW,,,,NEW,,,IDENTITY_DECISION_REQUIRED,AMBIGUOUS,CONSUMABLE/ACCESSORY FAMILY — serialized or stock is a human decision,,,,
256,PID,PID,PENDING,sennhesier headphone,sennhesier headphone 1,1,,Headphone,SERIALIZED,,PID-0126,,NEW,,,CONFIRM_NEW,,,,,,
257,PID,PID,PENDING,sennhesier headphone,sennhesier headphone 2,2,,Headphone,SERIALIZED,,PID-0127,,NEW,,,CONFIRM_NEW,,,,,,
258,PID,PID,PENDING,sennhesier headphone,sennhesier headphone 3,3,,Headphone,SERIALIZED,,PID-0128,,NEW,,,CONFIRM_NEW,,,,,,
259,PID,PID,PENDING,sennhesier headphone,sennhesier headphone 4,4,,Headphone,SERIALIZED,,PID-0129,,NEW,,,CONFIRM_NEW,,,,,,
260,PID,PID,PENDING,sennhesier headphone,sennhesier headphone 5,5,,Headphone,SERIALIZED,,PID-0130,,NEW,,,CONFIRM_NEW,,,,,,
